Safety Program (SP) data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rows are sorted by submitting_opid, system_type, record_created",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_AS_OF,RECORD_SOURCE,RECORD_CREATED,SUBMITTING_OPID,SUBMITTING_OPID_STATUS,SUBMITTING_OPID_NAME,SYSTEM_TYPE,D&A_PRIMARY_OPID,D&A_PRIMARY_NAME,D&A_STATUS,D&A_ENTER_DATE,D&A_EXIT_DATE,OME_PRIMARY_OPID,OME_PRIMARY_NAME,OME_STATUS,OME_ENTER_DATE,OME_EXIT_DATE,DP_PRIMARY_OPID,DP_PRIMARY_NAME,DP_STATUS,DP_ENTER_DATE,DP_EXIT_DATE,PA_PRIMARY_OPID,PA_PRIMARY_NAME,PA_STATUS,PA_ENTER_DATE,PA_EXIT_DATE,CRM_PRIMARY_OPID,CRM_PRIMARY_NAME,CRM_STATUS,CRM_ENTER_DATE,CRM_EXIT_DATE,OQ_PRIMARY_OPID,OQ_PRIMARY_NAME,OQ_STATUS,OQ_ENTER_DATE,OQ_EXIT_DATE,IM_PRIMARY_OPID,IM_PRIMARY_NAME,IM_STATUS,IM_ENTER_DATE,IM_EXIT_DATE,OPA_PRIMARY_OPID,OPA_PRIMARY_NAME,OPA_STATUS,OPA_ENTER_DATE,OPA_EXIT_DATE
12/15/21,Operator Validation,12/14/12,4430,ACTIVE,VALERO TERMINALING AND DISTRIBUTION COMPANY,Hazardous Liquid,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,,4430,Valero,Current,6/4/87,
12/15/21,Operator Validation,8/24/12,4440,ACTIVE,EMMETSBURG MUNICIPAL UTILITIES,Gas Distribution,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,,,,,
12/15/21,Operator Validation,8/24/12,4440,ACTIVE,EMMETSBURG MUNICIPAL UTILITIES,Gas Transmission,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,4440,EMMETSBURG MUNICIPAL UTILITIES,Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/13/12,4461,ACTIVE,"EOG RESOURCES, INC",Gas Gathering,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,,,,,,,,,,
12/15/21,Operator Validation,12/13/12,4461,ACTIVE,"EOG RESOURCES, INC",Gas Transmission,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,4461,EOG Resources,Current,4/21/95,,,,,,
12/15/21,Type C Notification,3/27/17,4461,ACTIVE,"EOG RESOURCES, INC",Hazardous Liquid,4461,EOG Resources,Current,10/1/10,,4461,EOG Resources,Current,10/3/16,,4461,EOG Resources,Current,6/10/15,,4461,EOG Resources,Current,11/21/16,,4461,EOG Resources,Current,2/2/15,,4461,EOG Resources,Current,9/8/16,,4461,EOG Resources,Current,10/20/16,,4461,EOG Resources,Current,6/6/12,
12/15/21,Operator Validation,6/25/12,4470,ACTIVE,"ENFIELD GAS DEPT, VILLAGE OF",Gas Distribution,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,4470,"ENFIELD GAS DEPT, VILLAGE OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,8/7/12,4472,ACTIVE,CYPRESS INTERSTATE PIPELINE LLC,Hazardous Liquid,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,,18092,Kinder Morgan,Current,4/20/95,
12/15/21,Operator Validation,9/9/12,4473,ACTIVE,ATMOS ENERGY CORPORATION - WEST TEXAS,Gas Distribution,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,,,,,
12/15/21,Operator Validation,9/9/12,4473,ACTIVE,ATMOS ENERGY CORPORATION - WEST TEXAS,Gas Transmission,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,4473,Atmos,Current,4/20/95,,,,,,
12/15/21,Operator Validation,9/5/12,4475,ACTIVE,"PENSACOLA, ENERGY SERVICES OF",Gas Distribution,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,4475,"PENSACOLA, ENERGY SERVICES OF",Current,6/4/87,,,,,,
12/15/21,Operator Validation,3/4/13,4480,ACTIVE,"ENGLEWOOD GAS DEPT, TOWN OF",Gas Distribution,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,4480,"ENGLEWOOD GAS DEPT, TOWN OF",Current,6/4/87,,,,,,
12/15/21,Type C Notification,6/29/15,4483,ACTIVE,ENSTAR NATURAL GAS CO,Gas Distribution,4483,Enstar Natural Gas,Current,5/25/95,,4483,Enstar Natural Gas,Current,5/25/95,,4483,Enstar Natural Gas,Current,5/25/95,,4483,Enstar Natural Gas,Current,5/25/95,,4483,Enstar Natural Gas,Current,5/25/95,,4483,Enstar Natural Gas,Current,5/25/95,,,,,,,,,,,
12/15/21,Operator Validation,10/8/12,4483,ACTIVE,ENSTAR NATURAL GAS CO,Gas Distribution,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,207,Alaska Pipeline,Superseded,5/24/95,5/25/95,4483,Enstar Natural Gas,Current,5/24/95,,,,,,
12/15/21,Type C Notification,6/26/15,4483,ACTIVE,ENSTAR NATURAL GAS CO,Gas Transmission,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,4483,Enstar Natural Gas,Current,5/3/95,,207,Alaska Pipeline,Current,5/3/95,,,,,,
12/15/21,Operator Validation,11/30/12,4489,INACTIVE,ENERGY PRODUCTION CORP,Gas Transmission,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,4489,ENERGY PRODUCTION CORP,Current,4/21/95,,,,,,
12/15/21,Operator Validation,9/19/12,4499,ACTIVE,CENTERPOINT ENERGY RESOURCES CORPORATION,Gas Distribution,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,,,,,
12/15/21,Operator Validation,10/2/12,4499,ACTIVE,CENTERPOINT ENERGY RESOURCES CORPORATION,Gas Transmission,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,4499,CENTERPOINT ENERGY RESOURCES CORPORATION,Current,5/24/95,,,,,,
12/15/21,Operator Validation,11/30/12,4500,ACTIVE,"ENUMCLAW GAS DEPT, CITY OF",Gas Distribution,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,4500,"ENUMCLAW GAS DEPT, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,11/30/12,4507,ACTIVE,"EQUALITY, VILLAGE OF",Gas Distribution,2728,Consumers,Current,4/20/95,,2728,Consumers,Current,4/20/95,,2728,Consumers,Current,4/20/95,,2728,Consumers,Current,4/20/95,,4507,"EQUALITY, VILLAGE OF",Current,4/20/95,,2728,Consumers,Current,4/20/95,,4507,"EQUALITY, VILLAGE OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,9/6/12,4510,INACTIVE,"EQUITABLE GAS COMPANY, LLC",Gas Distribution,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,,,,,
12/15/21,Operator Validation,9/6/12,4510,INACTIVE,"EQUITABLE GAS COMPANY, LLC",Gas Gathering,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,4510,"EQUITABLE GAS COMPANY, LLC",Current,5/24/95,,,,,,,,,,,
12/15/21,Type C Notification,4/1/15,4510,INACTIVE,"EQUITABLE GAS COMPANY, LLC",Gas Transmission,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,15350,Peoples,Current,11/1/14,,,,,,
12/15/21,Operator Validation,9/6/12,4510,INACTIVE,"EQUITABLE GAS COMPANY, LLC",Gas Transmission,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,4510,"EQUITABLE GAS COMPANY, LLC",Superseded,5/24/95,11/1/14,,,,,
12/15/21,Operator Validation,5/1/12,4540,ACTIVE,ESKRIDGE GAS SYSTEM,Gas Distribution,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,4540,ESKRIDGE GAS SYSTEM,Current,5/24/95,,,,,,
12/15/21,Operator Validation,9/28/12,4547,INACTIVE,ESSEX COUNTY GAS CO,Gas Distribution,13480,National Grid,Current,5/24/95,,11713,National Grid,Current,5/24/95,,13480,National Grid,Current,5/24/95,,1640,National Grid,Current,5/24/95,,11713,National Grid,Current,5/24/95,,13480,National Grid,Current,5/24/95,,11713,National Grid,Current,5/24/95,,,,,,
12/15/21,Operator Validation,9/28/12,4547,INACTIVE,ESSEX COUNTY GAS CO,LNG Plant/Facility,13480,National Grid,Current,5/24/95,,1640,National Grid,Current,5/24/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/21,Operator Validation,12/18/12,4550,ACTIVE,"ESTHERWOOD, VILLAGE OF",Gas Distribution,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,4550,"ESTHERWOOD, VILLAGE OF",Current,6/6/95,,,,,,
12/15/21,Created by PHMSA,5/24/95,4567,ACTIVE,ETOWAH UTILITIES,Gas Distribution,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,4567,ETOWAH UTILITIES,Current,5/24/95,,,,,,
12/15/21,Operator Validation,6/17/13,4590,ACTIVE,"EUNICE GAS DEPT, CITY OF",Gas Distribution,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,4590,"EUNICE GAS DEPT, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/3/12,4600,ACTIVE,"EVANGELINE GAS CO, INC",Gas Distribution,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,4600,"EVANGELINE GAS CO, INC",Current,4/21/95,,,,,,
12/15/21,Operator Validation,6/13/12,4805,ACTIVE,EXPLORER PIPELINE CO,Hazardous Liquid,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,,4805,EXPLORER PIPELINE CO,Current,6/4/87,
12/15/21,Type C Notification,2/14/13,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,Gas Gathering,18092,Kinder Morgan,Current,2/7/13,,,,,,,,,,,,18092,Kinder Morgan,Current,2/7/13,,,,,,,18092,Kinder Morgan,Current,2/7/13,,,,,,,,,,,
12/15/21,Operator Validation,9/20/12,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,Gas Gathering,2564,Kinder Morgan,Superseded,5/3/95,2/7/13,2564,Kinder Morgan,Current,5/3/95,,2564,Kinder Morgan,Current,5/3/95,,2564,Kinder Morgan,Superseded,5/3/95,2/7/13,2564,Kinder Morgan,Current,5/3/95,,19580,Kinder Morgan,Superseded,5/3/95,2/7/13,,,,,,,,,,
12/15/21,Type C Notification,5/15/13,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,Gas Transmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2564,Kinder Morgan,Current,4/22/13,,,,,,
12/15/21,Type C Notification,2/14/13,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,Gas Transmission,18092,Kinder Morgan,Current,2/7/13,,,,,,,,,,,,18092,Kinder Morgan,Current,2/7/13,,,,,,,18092,Kinder Morgan,Current,2/7/13,,,,,,,,,,,
12/15/21,Operator Validation,9/20/12,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,Gas Transmission,2564,Kinder Morgan,Superseded,5/3/95,2/7/13,2564,Kinder Morgan,Current,5/3/95,,2564,Kinder Morgan,Current,5/3/95,,2564,Kinder Morgan,Superseded,5/3/95,2/7/13,2564,Kinder Morgan,Current,5/3/95,,19580,Kinder Morgan,Superseded,5/3/95,2/7/13,19580,Kinder Morgan,Superseded,5/3/95,4/22/13,,,,,
12/15/21,Type C Notification,11/8/19,4900,ACTIVE,KINDER MORGAN TEJAS PIPELINE,UNGS,18092,Kinder Morgan,Current,1/18/17,,2564,Kinder Morgan,Current,1/18/17,,,,,,,,,,,,,,,,,,,,,,2564,Kinder Morgan,Current,1/18/17,,,,,,
12/15/21,Operator Validation,9/25/12,4906,ACTIVE,EXXONMOBIL PIPELINE CO,Gas Transmission,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,,,,,
12/15/21,Operator Validation,9/25/12,4906,ACTIVE,EXXONMOBIL PIPELINE CO,Hazardous Liquid,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,,4906,ExxonMobil,Current,4/20/95,
12/15/21,Operator Validation,2/14/13,4908,ACTIVE,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",Gas Distribution,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,,,,,
12/15/21,Operator Validation,2/14/13,4908,ACTIVE,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",Gas Gathering,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,,,,,,,,,,
12/15/21,Operator Validation,2/14/13,4908,ACTIVE,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",Gas Transmission,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,,,,,
12/15/21,Operator Validation,2/14/13,4908,ACTIVE,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",Hazardous Liquid,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation",Current,5/3/95,
12/15/21,Operator Validation,3/5/13,5020,ACTIVE,FAIRFAX PUBLIC WORKS AUTHORITY,Gas Distribution,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,5020,FAIRFAX PUBLIC WORKS AUTHORITY,Current,4/20/95,,,,,,
12/15/21,Operator Validation,8/27/12,5030,ACTIVE,FAIRFIELD MUNICIPAL GAS UTILITY,Gas Distribution,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,5030,FAIRFIELD MUNICIPAL GAS UTILITY,Current,5/24/95,,,,,,
12/15/21,Operator Validation,12/10/12,5040,ACTIVE,"FAIRHOPE GAS SYSTEM, CITY OF",Gas Distribution,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,5040,"FAIRHOPE GAS SYSTEM, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/4/12,5055,ACTIVE,FALFURRIAS UTILITY BOARD,Gas Distribution,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,5055,FALFURRIAS UTILITY BOARD,Current,5/24/95,,,,,,
12/15/21,Operator Validation,12/4/12,5057,ACTIVE,FALLS CITY UTILITIES,Gas Distribution,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,5057,FALLS CITY UTILITIES,Current,5/24/95,,,,,,
12/15/21,Operator Validation,7/25/13,5081,ACTIVE,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Hazardous Liquid,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",Current,5/10/91,
